timestamp,action,response_time_ms,status_code,isp,region
2026-04-02 16:05:11.412332,Login,211.94354917725423,200,Glo,Lagos
2026-04-02 16:10:11.412332,Transfer,275.8716931531205,200,Glo,Lagos
2026-04-02 16:15:11.412332,Login,348.4462348189108,200,MTN,Lagos
2026-04-02 16:20:11.412332,CheckBalance,250.33046894546376,200,MTN,Lagos
2026-04-02 16:25:11.412332,Transfer,276.8486464826499,200,Glo,Lagos
2026-04-02 16:30:11.412332,Login,309.00636845307105,200,MTN,Lagos
2026-04-02 16:35:11.412332,Login,225.22548099765973,200,MTN,Lagos
2026-04-02 16:40:11.412332,Transfer,273.4875545628329,200,Airtel,Lagos
2026-04-02 16:45:11.412332,Transfer,211.3341706258656,200,Glo,Lagos
2026-04-02 16:50:11.412332,CheckBalance,304.4679352400418,200,Airtel,Lagos
2026-04-02 16:55:11.412332,CheckBalance,275.3181028308261,200,Airtel,Lagos
2026-04-02 17:00:11.412332,Login,280.47887238874534,200,Glo,Lagos
2026-04-02 17:05:11.412332,CheckBalance,222.36379463880428,200,Airtel,Lagos
2026-04-02 17:10:11.412332,Transfer,294.09475065736586,200,Airtel,Lagos
2026-04-02 17:15:11.412332,Login,368.2284044381745,200,Glo,Lagos
2026-04-02 17:20:11.412332,CheckBalance,206.52908899056587,200,MTN,Lagos
2026-04-02 17:25:11.412332,Transfer,245.79092982656232,200,MTN,Lagos
2026-04-02 17:30:11.412332,CheckBalance,274.5302940473043,200,Airtel,Lagos
2026-04-02 17:35:11.412332,Login,304.5437805027392,200,Airtel,Lagos
2026-04-02 17:40:11.412332,Transfer,244.09854673484332,200,Airtel,Lagos
2026-04-02 17:45:11.412332,Transfer,121.00996077597011,200,MTN,Lagos
2026-04-02 17:50:11.412332,Transfer,327.0700221904829,200,Glo,Lagos
2026-04-02 17:55:11.412332,CheckBalance,299.1240012862704,200,MTN,Lagos
2026-04-02 18:00:11.412332,Transfer,167.03190298266114,200,Airtel,Lagos
2026-04-02 18:05:11.412332,CheckBalance,228.15288158393648,200,MTN,Lagos
2026-04-02 18:10:11.412332,Transfer,338.13675599190395,200,Airtel,Lagos
2026-04-02 18:15:11.412332,Login,331.71282216986464,200,Airtel,Lagos
2026-04-02 18:20:11.412332,CheckBalance,309.0153660315114,200,Airtel,Lagos
2026-04-02 18:25:11.412332,CheckBalance,249.43323455262694,200,MTN,Lagos
2026-04-02 18:30:11.412332,CheckBalance,270.2166201607919,200,Glo,Lagos
2026-04-02 18:35:11.412332,Login,255.09225512495456,200,MTN,Lagos
2026-04-02 18:40:11.412332,CheckBalance,318.0670955711951,200,Glo,Lagos
2026-04-02 18:45:11.412332,Login,216.6431990722201,200,Glo,Lagos
2026-04-02 18:50:11.412332,Transfer,222.13226882497258,200,Glo,Lagos
2026-04-02 18:55:11.412332,Login,315.67020180493785,200,MTN,Lagos
2026-04-02 19:00:11.412332,CheckBalance,256.2240763367644,200,Airtel,Lagos
2026-04-02 19:05:11.412332,Login,328.2561623622951,200,Airtel,Lagos
2026-04-02 19:10:11.412332,Login,227.22933665249138,200,Airtel,Lagos
2026-04-02 19:15:11.412332,CheckBalance,253.9520399765108,200,Airtel,Lagos
2026-04-02 19:20:11.412332,Login,212.73135157698084,200,MTN,Lagos
2026-04-02 19:25:11.412332,Transfer,260.6468734057838,200,Airtel,Lagos
2026-04-02 19:30:11.412332,Login,191.8084232724147,200,MTN,Lagos
2026-04-02 19:35:11.412332,Login,238.96137823848287,200,Airtel,Lagos
2026-04-02 19:40:11.412332,Transfer,191.3090609400072,200,MTN,Lagos
2026-04-02 19:45:11.412332,CheckBalance,300.5017386198973,200,MTN,Lagos
2026-04-02 19:50:11.412332,Transfer,297.7365555167671,200,Glo,Lagos
2026-04-02 19:55:11.412332,CheckBalance,177.55988912860005,200,Airtel,Lagos
2026-04-02 20:00:11.412332,Login,328.84715708711997,200,Airtel,Lagos
2026-04-02 20:05:11.412332,Transfer,388.55255311313215,200,Glo,Lagos
2026-04-02 20:10:11.412332,Transfer,262.64422267163127,200,MTN,Lagos
2026-04-02 20:15:11.412332,Login,220.91854689164222,200,Airtel,Lagos
2026-04-02 20:20:11.412332,Transfer,403.4635320081068,200,Airtel,Lagos
2026-04-02 20:25:11.412332,CheckBalance,202.58127730669355,200,Airtel,Lagos
2026-04-02 20:30:11.412332,Login,267.6034852005602,200,Airtel,Lagos
2026-04-02 20:35:11.412332,CheckBalance,275.7905943888194,200,Glo,Lagos
2026-04-02 20:40:11.412332,Transfer,335.2043852994238,200,MTN,Lagos
2026-04-02 20:45:11.412332,Transfer,281.3986510804829,200,MTN,Lagos
2026-04-02 20:50:11.412332,Transfer,238.96923057121717,200,MTN,Lagos
2026-04-02 20:55:11.412332,Login,213.13642700060177,200,MTN,Lagos
2026-04-02 21:00:11.412332,Login,244.8654612360416,200,Airtel,Lagos
2026-04-02 21:05:11.412332,Transfer,215.39215079500354,200,MTN,Lagos
2026-04-02 21:10:11.412332,Login,270.53682855180523,200,MTN,Lagos
2026-04-02 21:15:11.412332,Transfer,234.61702128886705,200,Airtel,Lagos
2026-04-02 21:20:11.412332,CheckBalance,186.93655923144183,200,MTN,Lagos
2026-04-02 21:25:11.412332,Login,326.2531977802262,200,Glo,Lagos
2026-04-02 21:30:11.412332,Transfer,241.0695879210387,200,Airtel,Lagos
2026-04-02 21:35:11.412332,Transfer,194.42071815419402,200,Glo,Lagos
2026-04-02 21:40:11.412332,Transfer,246.05988770128738,200,Glo,Lagos
2026-04-02 21:45:11.412332,Transfer,264.92858970934964,200,Glo,Lagos
2026-04-02 21:50:11.412332,Login,171.5605633970443,200,Airtel,Lagos
2026-04-02 21:55:11.412332,Login,278.3711625160711,200,Airtel,Lagos
2026-04-02 22:00:11.412332,Transfer,210.9269308113087,200,Glo,Lagos
2026-04-02 22:05:11.412332,CheckBalance,347.66896791525875,200,Airtel,Lagos
2026-04-02 22:10:11.412332,CheckBalance,295.99300740425076,200,Airtel,Lagos
2026-04-02 22:15:11.412332,Login,245.3516817861941,200,MTN,Lagos
2026-04-02 22:20:11.412332,Login,228.03780172654604,200,Airtel,Lagos
2026-04-02 22:25:11.412332,CheckBalance,261.38932657268225,200,MTN,Lagos
2026-04-02 22:30:11.412332,CheckBalance,290.28767855345086,200,MTN,Lagos
2026-04-02 22:35:11.412332,CheckBalance,267.1398052365501,200,MTN,Lagos
2026-04-02 22:40:11.412332,CheckBalance,253.15165758386397,200,Airtel,Lagos
2026-04-02 22:45:11.412332,CheckBalance,269.9676826674279,200,Glo,Lagos
2026-04-02 22:50:11.412332,Transfer,229.94146073427947,200,MTN,Lagos
2026-04-02 22:55:11.412332,Login,241.10109539279128,200,MTN,Lagos
